timestamp,uid,version,action
1666112772650,21257273660,a,page_load
1666112786756,21257273660,a,page_load
1666112790510,21257273660,a,update_cart
1666112793627,21257273660,a,update_cart
1666112794145,21257273660,a,update_cart
1666112794624,21257273660,a,update_cart
1666112795902,21257273660,a,update_cart
1666112797194,21257273660,a,update_cart
1666112800240,21257273660,a,update_cart
1666112802102,21257273660,a,update_cart
1666112802335,21257273660,a,update_cart
1666112802551,21257273660,a,update_cart
1666112802893,21257273660,a,update_cart
1666112803346,21257273660,a,update_cart
1666112805233,21257273660,a,checkout
1666115016741,23223155156,b,page_load
1666115017198,23751172370,a,page_load
1666115017445,31555031712,a,page_load
1666115017916,31403242617,a,page_load
1666115017972,25441736434,a,page_load
1666115018376,36730433365,a,page_load
1666115018678,30617132406,b,page_load
1666115018797,3046351564,b,page_load
1666115018805,10554204636,b,page_load
1666115018903,30346300315,a,page_load
1666115019160,27516410201,a,page_load
1666115019382,30025750175,b,page_load
1666115019465,13465060627,a,page_load
1666115019678,37761627567,b,page_load
1666115019679,10715267661,b,page_load
1666115019706,33641460736,a,page_load
1666115019795,30030734774,a,page_load
1666115020103,23370406030,a,page_load
1666115020130,17250517553,a,page_load
1666115020285,13322657506,b,page_load
1666115020397,37364421726,a,page_load
1666115020462,31210500355,b,page_load
1666115020469,35705151460,a,page_load
1666115020551,12064532003,a,page_load
1666115020606,30714105061,a,page_load
1666115020666,17236467101,b,page_load
1666115020801,7432033455,a,page_load
1666115021043,35377025756,b,page_load
1666115021276,31372274242,b,page_load
1666115021286,13575022507,b,page_load
1666115021364,32777301727,b,page_load
1666115021405,12651744023,a,page_load
1666115021569,1747317101,b,page_load
1666115021617,34027714646,b,page_load
1666115021637,2327735375,b,page_load
1666115021715,36475347507,b,page_load
1666115021771,4561040727,b,page_load
1666115021820,23735603342,a,page_load
1666115021898,2256441077,a,page_load
1666115022176,23774562321,b,page_load
1666115022316,34230434270,b,page_load
1666115022387,3525046740,b,page_load
1666115022514,10226470543,a,page_load
1666115022526,36574753540,a,page_load
1666115022601,34663106502,b,page_load
1666115022606,30507322654,b,page_load
1666115022684,22243747441,a,page_load
1666115022751,2701225773,a,page_load
1666115022869,3616505161,b,page_load
1666115022911,13465060627,a,update_cart
1666115022943,21000601221,a,page_load
1666115022949,30367647236,a,page_load
1666115022996,27106525745,a,page_load
1666115023028,21523006126,b,page_load
1666115023039,33034156576,b,page_load
1666115023071,21441530003,b,page_load
1666115023092,36014126510,a,page_load
1666115023147,25740237527,a,page_load
1666115023356,32323742424,b,page_load
1666115023423,27177604051,b,page_load
1666115023451,5064260364,b,page_load
1666115023463,26550046615,a,page_load
1666115023475,13777577525,a,page_load
1666115023737,6331032412,b,page_load
1666115023801,25127042732,a,page_load
1666115024044,27371024530,b,page_load
1666115024108,2372653710,a,page_load
1666115024212,37332113021,a,page_load
1666115024260,13454164476,b,page_load
1666115024354,32304744545,a,page_load
1666115024494,14477775131,b,page_load
1666115024527,7035356500,a,page_load
1666115024618,27246717246,a,page_load
1666115024668,30714105061,a,update_cart
1666115024750,30346300315,a,update_cart
1666115024787,23702253201,a,page_load
1666115024941,31555031712,a,update_cart
1666115024985,10402302623,a,page_load
1666115024987,26614157703,b,page_load
1666115025012,33141502261,a,page_load
1666115025240,11710466303,a,page_load
1666115025252,26472103057,b,page_load
1666115025317,31305065565,b,page_load
1666115025329,10150415650,a,page_load
1666115025385,23542435765,b,page_load
1666115025403,37554076321,a,page_load
1666115025424,17067575070,b,page_load
1666115025448,15645200726,b,page_load
1666115025671,32151703736,b,page_load
1666115025672,3406614242,b,page_load
1666115025848,22221425425,b,page_load
1666115025857,30106747472,b,page_load
1666115025990,30053357457,a,page_load
1666115026005,1102405711,b,page_load
1666115026052,23751172370,a,update_cart
1666115026072,34717432337,a,page_load
1666115026081,27000454705,a,page_load
1666115026190,2424025504,a,page_load
1666115026225,30714105061,a,update_cart
1666115026239,166113636,b,page_load
1666115026357,30714105061,a,update_cart
1666115026412,30617132406,b,update_cart
1666115026537,35277546434,a,page_load
1666115026557,35704615470,b,page_load
1666115026643,27742421564,b,page_load
1666115026656,24507224204,b,page_load
1666115026680,10526360276,b,page_load
1666115026830,3046351564,b,update_cart
1666115026883,23543476413,b,page_load
1666115026904,25175033750,b,page_load
1666115026921,7633622447,a,page_load
1666115026936,35264450763,a,page_load
1666115026953,23412603713,b,page_load
1666115027034,30714105061,a,update_cart
1666115027059,502022430,b,page_load
1666115027070,6717746013,b,page_load
1666115027072,36371757724,a,page_load
1666115027087,7462455307,b,page_load
1666115027145,7027665453,a,page_load
1666115027167,30714105061,a,update_cart
1666115027188,3215645407,b,page_load
1666115027258,34071537674,b,page_load
1666115027259,15120517235,a,page_load
1666115027279,23751172370,a,update_cart
1666115027283,30714105061,a,update_cart
1666115027391,27106525745,a,update_cart
1666115027409,6220067662,b,page_load
1666115027489,3450566174,a,page_load
1666115027532,35705151460,a,update_cart
1666115027551,16341577563,b,page_load
1666115027667,6442146605,b,page_load
1666115027679,30346300315,a,update_cart
1666115027705,24174320707,b,page_load
1666115027855,25435701563,b,page_load
1666115027873,32061004231,b,page_load
1666115027902,34135647511,a,page_load
1666115028003,7432033455,a,update_cart
1666115028012,2646425056,b,page_load
1666115028185,36701122415,a,page_load
1666115028191,32747642312,b,page_load
1666115028221,5462503515,a,page_load
1666115028451,21441530003,b,update_cart
1666115028466,31356532645,b,page_load
1666115028468,11425650767,a,page_load
1666115028505,7216165602,b,page_load
1666115028516,30617132406,b,update_cart
1666115028625,30714105061,a,update_cart
1666115028685,13465060627,a,update_cart
1666115028766,23751172370,a,update_cart
1666115028774,30714105061,a,update_cart
1666115028777,26131115573,a,page_load
1666115028877,23154203413,b,page_load
1666115028886,25326117147,b,page_load
1666115028901,30714105061,a,update_cart
1666115028993,23751172370,a,update_cart
1666115029009,37022457665,a,page_load
1666115029154,25441736434,a,update_cart
1666115029259,25754674433,a,page_load
1666115029440,20645574227,a,page_load
1666115029466,30157775536,a,page_load
1666115029483,31211776747,b,page_load
1666115029523,27335547633,a,page_load
1666115029559,6551437105,b,page_load
1666115029648,7432033455,a,update_cart
1666115029780,27314044641,b,page_load
1666115029892,5270536672,b,page_load
1666115030023,30324444036,b,page_load
1666115030297,36014126510,a,update_cart
1666115030349,11663311513,a,page_load
1666115030526,30346300315,a,update_cart
1666115030538,30617132406,b,update_cart
1666115030542,6104212750,b,page_load
1666115030552,35607065527,a,page_load
1666115030639,27106525745,a,update_cart
1666115030715,14330363015,a,page_load
1666115030791,7432033455,a,update_cart
1666115031007,15507466426,a,page_load
1666115031044,6515320376,b,page_load
1666115031053,25441736434,a,update_cart
1666115031064,15153333334,b,page_load
1666115031108,23751172370,a,update_cart
1666115031134,23735603342,a,update_cart
1666115031167,23447330232,b,page_load
